el	article	masculine singular definite article; the		
muchísimo	adv	superlative degree of mucho: a lot, very much	Estoy muchísimo más tranquilo ahora.	I'm so much calmer now.
dama	noun	lady, dame	Las damas ocuparon los primeros asientos.	The ladies took the front seats.
aprovechar	verb	to make use of, to make the most of	Debemos aprovechar cada oportunidad de aprender.	We must seize every opportunity to learn.
ciego	noun	blind person	El ciego pidió ayuda para cruzar.	The blind man asked for help crossing.
ciego	adj	blind	El perro ciego necesita ayuda.	The blind dog needs help.
camión	noun	lorry (UK); truck (US)	Escuchamos el camión desde lejos.	We heard the truck from far away.
herido	adj	hurt, injured	Ella todavía está herida por el accidente.	She is still injured from the accident.
motivo	noun	reason, ground, motive	¿Cuál es el verdadero motivo de la reunión?	What is the real reason for the meeting?
señal	noun	sign	Las señales de peligro eran claras.	The warning signs were clear.
ordenar	verb	to order	Si ordenas ahora, llegará mañana.	If you order now, it will arrive tomorrow.
tarta	noun	pie, tart	¿Cuántas tartas necesitamos para la fiesta?	How many cakes do we need for the party?
atacar	verb	to attack, to come at	Quiero atacar el problema pronto.	I want to tackle the problem soon.
artista	noun	artist	El artista trabaja de noche para crear.	The artist works at night to create.
sorpresa	noun	surprise (something not expected)	Me dieron una sorpresa en mi cumpleaños.	They gave me a surprise on my birthday.
alimento	noun	food (solid substance that can be consumed)	El perro comió su alimento seco lentamente.	The dog ate its dry food slowly.
dirigir	verb	to direct	Ella dirige una empresa tecnológica.	She runs a tech company.
documento	noun	document, paper	Perdí el documento en la oficina ayer.	I lost the document at the office yesterday.
vuelo	noun	flight (an instance of flying)	Perdimos el vuelo por llegar tarde.	We missed the flight because we were late.
inventar	verb	to invent	Nosotros inventamos soluciones cuando falta tiempo.	We come up with solutions when time is short.
empleo	noun	job, employment	Encontró empleo gracias a un curso.	They found a job thanks to a course.
colgar	verb	to hang	¿Puedes colgar este cuadro aquí en la pared?	Can you hang this picture here on the wall?
zona	noun	zone, district, area	En esa zona no hay señal.	There’s no signal in that area.
agradar	verb	to please, to agree with	¿Te agradaría venir con nosotros?	Would you like to come with us?
expresar	verb	to express	Si te expresas mejor, te entienden.	If you express yourself better, people will understand you.
despacio	adv	slowly	Escribe despacio para evitar errores.	Write slowly to avoid mistakes.
cercano	adj	near, nearby, close	¿Hay una farmacia cercana abierta esta noche?	Is there a nearby pharmacy open tonight?
alegría	noun	joy, happiness	Quiero compartir mi alegría contigo.	I want to share my joy with you.
lobo	noun	wolf	Vi un lobo cruzando el camino.	I saw a wolf crossing the road.
sabio	adj	learned	El profesor sabio explicó el tema claramente.	The wise professor explained the topic clearly.
sabio	noun	learned person	Esa sabia escribió libros sobre ciencia.	That wise woman wrote books about science.
actual	adj	present, current	La situación actual requiere paciencia.	The current situation requires patience.
actual	noun	of the current month, year, etc.	Hasta el actual no hubo problemas.	Up until the current one, there were no problems.
cincuenta	num	fifty	Mañana cumpliré cincuenta años con alegría.	Tomorrow I will turn fifty with joy.
estrés	noun	stress	Aprender a manejar el estrés ayuda mucho.	Learning to manage stress helps a lot.
cabello	noun	hair (the mass of hairs on the head)	El cabello blanco apareció por el estrés.	The white hair appeared because of stress.
bienvenido	adj	welcome	Todos son bienvenidos en nuestra casa.	Everyone is welcome in our home.
bienvenido	intj	welcome (when saying this to a male)	¡Bienvenido al equipo, estamos contigo!	Welcome to the team, we're with you!
pantalón	noun	trousers, pants, shorts	Llevo pantalones cortos para correr.	I wear shorts for running.
tráfico	noun	traffic	Hay mucho tráfico cerca del estadio.	There is a lot of traffic near the stadium.
indicar	verb	to indicate, signal, designate	La señal indica: no avanzar.	The sign indicates: do not proceed.
boda	noun	wedding	Ellos celebraron su boda en la primavera.	They celebrated their wedding in the spring.
sur	noun	south	El sol cae temprano en el sur.	The sun sets early in the south.
posibilidad	noun	possibility	Existe la posibilidad de lluvia mañana.	There is a possibility of rain tomorrow.
opción	noun	option	Tienes varias opciones para almorzar hoy.	You have several options for lunch today.
grave	adj	serious, grave	El paciente está grave y necesita cuidados.	The patient is in serious condition and needs care.
izquierda	noun	left	Siempre mira a la izquierda antes de cruzar.	Always look to the left before crossing.
bastar	verb	to be enough; to suffice	No bastó el esfuerzo que hicimos ayer.	The effort we made yesterday was not enough.
americano	adj	American (of, from or relating to the Americas)	Las ciudades americanas crecieron rápidamente durante el siglo pasado.	American cities grew rapidly during the last century.
retornado	xxx	xxx	xxx	xxx
transformar	verb	to transform	La educación puede transformar vidas enteras.	Education can transform entire lives.
americano	noun	someone who became rich in the Americas and returned to his country	Muchos americanos enriquecidos y retornados transformaron la economía de su aldea.	Many Americans who became wealthy and returned transformed the economy of their village.
humanidad	noun	humanity	La humanidad aprende de sus errores.	Humanity learns from its mistakes.
sencillo	adj	plain	Buscamos una solución sencilla al problema.	We are looking for a simple solution to the problem.
sencillo	noun	single	Escuché su nuevo sencillo hoy.	I listened to their new single today.
botón	noun	button (clothing, mechanical)	Se me cayó un botón de la camisa hoy.	A button fell off my shirt today.
participar	verb	to participate, to take part, to partake	Si todos participamos, terminaremos más rápido.	If we all participate, we'll finish faster.
bolsillo	noun	pocket	Los niños guardaron piedras en los bolsillos.	The children put stones in their pockets.
acostumbrar	verb	accustom, inure, familiarize	Me estoy acostumbrando a levantarme temprano.	I'm getting used to getting up early.
destino	noun	destiny, fate	Siempre he creído en el destino.	I have always believed in fate.
ondear	xxx	xxx	xxx	xxx
bandera	noun	flag	La bandera ondeaba con fuerza por el viento.	The flag was flapping strongly in the wind.
prohibido	adj	forbidden	Acceso prohibido para menores de edad.	Access prohibited for minors.
pareja	noun	couple	Cada pareja del ejercicio debe resolver el problema en equipo.	Each pair in the exercise must solve the problem as a team.
bebida	noun	drink, beverage	Me encanta esta bebida fría.	I love this cold drink.
mapa	noun	map (sheet with geographical information on it)	Necesito el mapa para llegar al museo.	I need the map to get to the museum.
rechazar	verb	to reject, to turn down, to turn away, to refuse, to dismiss, to shun, to decline	Ella rechaza cualquier tipo de violencia.	She rejects any kind of violence.
solemnidad	xxx	xxx	xxx	xxx
matrimonio	noun	matrimony (sacrament)	La Iglesia celebra el matrimonio con solemnidad.	The Church celebrates marriage with solemnity.
mudar	verb	to move, relocate, move to a new house	¿Cuándo piensas mudarte a ese barrio?	When do you plan to move to that neighborhood?
emocionante	adj	touching	Sus palabras sinceras fueron emocionantes y llenas de esperanza.	Their sincere words were moving and full of hope.
pelota	noun	ball game	Ayer vimos un partido de pelota emocionante.	Yesterday we watched an exciting ball game.
significado	adj	well-known	Son miembros muy significados de la comunidad.	They are very prominent members of the community.
significado	noun	meaning	No entiendo el significado de esta palabra.	I don't understand the meaning of this word.
fácilmente	adv	easily	Ella resolvió ayer el problema fácilmente.	She solved the problem easily yesterday.
confesar	verb	to confess, to come clean about	Nunca confesamos porque teníamos miedo.	We never confessed because we were afraid.
tercero	adj	third	Vivimos en el tercer piso.	We live on the third floor.
tercero	noun	third party	No compartimos datos con terceros.	We do not share data with third parties.
piscina	noun	swimming pool	Las piscinas públicas abren temprano en verano.	Public pools open early in summer.
hola	intj	hello, hi, hey	Hola, gracias por venir temprano.	Hello, thanks for coming early.
demostrar	verb	to show, to demonstrate	Ella demuestra paciencia en momentos difíciles.	She demonstrates patience in difficult moments.
pollo	noun	chicken (meat)	Pedimos una sopa de pollo caliente.	We ordered hot chicken soup.
pollo	adj	inexperienced	Llegó muy pollo a su primer trabajo.	They arrived very green at their first job.
religión	noun	religion	Su interés por la religión creció después del viaje.	Their interest in religion grew after the trip.
calidad	noun	quality (level of excellence)	La calidad del servicio fue excelente hoy.	The quality of the service was excellent today.
sano	adj	healthy, sound	Comer verduras es muy sano.	Eating vegetables is very healthy.
brillar	verb	to shine	Las estrellas brillan en la noche.	The stars shine at night.
época	noun	epoch, era, age, time, day	Fue una época difícil para todos.	It was a difficult time for everyone.
pizza	noun	pizza	Hoy comimos una pizza deliciosa juntos.	Today we ate a delicious pizza together.
teoría	noun	theory	Según la teoría, los resultados deberían repetirse.	According to the theory, the results should repeat themselves.
propósito	noun	purpose	Mi propósito es aprender cada día.	My purpose is to learn every day.
asistir	verb	to attend (an event)	Cuando era niño, asistía a partidos locales.	When I was a child, I attended local matches.
expendedor	xxx	xxx	xxx	xxx
moneda	noun	coin (piece of currency in the shape of a disc)	Puse una moneda en la máquina expendedora.	I put a coin in the vending machine.
explicación	noun	explanation	Agradezco tu explicación sobre el problema.	I appreciate your explanation about the problem.
club	noun	club (an association of members joining together for some common purpose, especially sports or recreation)	El club de fútbol entrena cada tarde.	The football club trains every afternoon.
acusar	verb	to accuse, charge, indict	Temían que nos acusaran por error.	They feared that we would be accused by mistake.
ahorrar	verb	to save (to store for future use)	Deberíamos ahorrar agua en verano.	We should save water in summer.
culpable	adj	guilty, culpable	No te considero culpable de nada.	I don't consider you guilty of anything.
culpable	noun	culpable person	La policía aún no encuentra al culpable.	The police still haven't found the culprit.
sombra	noun	shadow (a dark image projected onto a surface where light (or other radiation) is blocked by the shade of an object)	Las sombras de las montañas avanzaban lentamente.	The shadows of the mountains were moving slowly.
león	noun	lion	Observamos a los leones beber agua limpia.	We watched the lions drink clean water.
muchacha	noun	female equivalent of muchacho: girl, young lady	La muchacha lee un libro interesante.	The girl reads an interesting book.
teatro	noun	theater; drama (drama or performance as a profession or art form)	Vamos al teatro esta noche.	We're going to the theater tonight.
disculpar	verb	to excuse, forgive, pardon	Siempre disculpamos a los niños pequeños.	We always excuse little children.
móvil	adj	mobile	Necesitamos una biblioteca móvil para los barrios.	We need a mobile library for the neighborhoods.
móvil	noun	cellular, cell phone (US), mobile phone (UK, Australia)	Olvidé mi móvil en casa.	I forgot my mobile phone at home.
ignorar	verb	to not know; to be ignorant of	Seguimos ignorando cómo ocurrió todo realmente.	We still don't know how everything really happened.
cola	noun	tail	El perro movía la cola contento en el parque.	The dog was wagging its tail happily in the park.
desierto	adj	desert	Encontramos la playa desierta en invierno.	We found the beach deserted in winter.
desierto	noun	desert	Cruzaron el desierto siguiendo las estrellas.	They crossed the desert following the stars.
terremoto	noun	earthquake	El terremoto sorprendió a todos mientras dormían.	The earthquake surprised everyone while they were sleeping.
riesgo	noun	chance; risk; the possibility of harm or an unfavorable outcome from random chance	El riesgo de incendio aumentó hoy.	The risk of fire increased today.
mirada	noun	look, glance	Su mirada me resultó extraña hoy.	Their gaze seemed strange to me today.
vergüenza	noun	shame	Me da vergüenza hablar en público.	I feel embarrassed to speak in public.
impedir	verb	to impede, hinder	No quiero impedir tus planes hoy.	I don't want to impede your plans today.
objeto	noun	object	Perdí el objeto en el parque ayer.	I lost the object in the park yesterday.
torta	noun	tart, pie	Las tortas de queso quedaron deliciosas esta mañana.	The cheesecakes turned out delicious this morning.
cárcel	noun	prison	Las cárceles están llenas de historias.	Prisons are full of stories.
dificultad	noun	difficulty, trouble, problem, challenge, constraint, strenuousness, arduousness	Tuve dificultad para entender la explicación del profesor.	I had difficulty understanding the professor's explanation.
herida	noun	wound	La herida en su brazo dolía mucho.	The wound on their arm hurt a lot.
destruir	verb	to destroy	No quiero destruir nuestra amistad.	I don't want to destroy our friendship.
remedio	noun	remedy, solution	Buscamos un remedio rápido y seguro.	We are looking for a quick and safe remedy.
espejo	noun	mirror	El niño se mira en el espejo del baño.	The boy looks at himself in the bathroom mirror.
fábrica	noun	factory	Esa empresa construyó una fábrica moderna y eficiente.	That company built a modern and efficient factory.
arena	noun	sand, gravel	En la playa, la arena estaba muy caliente.	At the beach, the sand was very hot.
propuesta	noun	proposal	Necesitamos revisar la propuesta final.	We need to review the final proposal.
inocente	adj	innocent	La niña parece completamente inocente.	The girl seems completely innocent.
inocente	noun	innocent person	El inocente negó todas las acusaciones.	The innocent person denied all the accusations.
lamento	noun	lament	Mi lamento se convirtió en silencio.	My lament turned into silence.
sobrevivir	verb	to survive	Intento sobrevivir en una ciudad cara.	I'm trying to survive in an expensive city.
conciencia	noun	conscience	Ella actuó según su conciencia.	She acted according to her conscience.
dibujar	verb	to draw, to sketch	Ella dibujaba animales cuando era niña.	She used to draw animals when she was a child.
fantasma	noun	ghost, phantom, wraith	El fantasma hacía ruidos en la escalera.	The ghost was making noises on the stairs.
movimiento	noun	movement	Observamos el movimiento de las nubes.	We observed the movement of the clouds.
autor	noun	author	Conocimos al autor durante la conferencia.	We met the author during the conference.
medicamento	noun	medicine, medicament	¿A qué hora tomas tu medicamento diario?	What time do you take your daily medication?
gas	noun	gas (an element or compound in such a state)	El gas natural se usa para cocinar en muchas casas.	Natural gas is used for cooking in many homes.
quizás	adv	maybe, perhaps	Quizás podamos vernos esta tarde.	Perhaps we can meet this afternoon.
sorprendido	adj	surprised	Los niños están sorprendidos por el regalo.	The children are surprised by the gift.
supermercado	noun	supermarket	El supermercado abre a las ocho.	The supermarket opens at eight.
llamada	noun	call	Tenemos varias llamadas perdidas esta mañana.	We have several missed calls this morning.
nación	noun	nation	La nación protegió sus recursos naturales.	The nation protected its natural resources.
llamado	noun	call	Hicieron un llamado a todos.	They made an appeal to everyone.
conocí	xxx	xxx	xxx	xxx
llamado	adj	called	Conocí a una mujer llamada Rosa.	I met a woman named Rosa.
tomo	noun	tome, volume	Prestaron los dos tomos a mi hermana.	They lent the two volumes to my sister.
aspecto	noun	aspect	Otro aspecto importante es la seguridad.	Another important aspect is safety.
corbata	noun	necktie, tie (piece of clothing)	Él siempre usa corbata en la oficina.	He always wears a tie at the office.
unir	verb	to unite, join	Mañana uniremos fuerzas para ganar.	Tomorrow we will join forces to win.
conversación	noun	conversation	La conversación con mi profesora aclaró mis dudas.	The conversation with my professor cleared up my doubts.
obligar	verb	to force, to compel, to make (someone do something)	Mis padres me obligaron a volver temprano.	My parents made me come back early.
monte	noun	mountain, mount	Los montes forman una frontera natural.	The mountains form a natural border.
premio	noun	prize, award (honour or reward)	El premio mayor fue compartido.	The grand prize was shared.
mono	adj	cute, pretty	Compré una taza mona para mi escritorio.	I bought a cute mug for my desk.
mono	noun	monkey	La mona aprendió a usar herramientas.	The female monkey learned to use tools.
ocasión	noun	occasion	¿Habrá otra ocasión para vernos?	Will there be another chance for us to meet?
apuntar	verb	to point, to aim, to take aim (a weapon)	Siempre apuntaban al blanco correcto.	They always aimed at the correct target.
conejo	noun	rabbit, cony, coney (male or unspecified sex)	Cuidamos de dos conejos en casa.	We take care of two rabbits at home.
permiso	noun	permission	No tengo permiso para entrar aquí.	I don't have permission to enter here.
permiso	intj	excuse me, pardon	Permiso, necesito tomar ese asiento.	Excuse me, I need to take that seat.
billete	noun	banknote, bill (paper currency)	¿Tienes cambio para este billete de veinte?	Do you have change for this twenty?
oscuridad	noun	darkness	La oscuridad impide ver con claridad.	The darkness prevents you from seeing clearly.
oído	noun	hearing	Perdió el oído en un accidente de trabajo.	He lost his hearing in a workplace accident.
rostro	noun	face (the front part of the head)	Su rostro mostraba una tranquila sonrisa.	His face displayed a tranquil smile.
asustar	verb	to scare, to frighten, to spook	No quiero asustar a mi hermana menor.	I don't want to scare my little sister.
puro	adj	pure, clear	Este oro puro vale mucho en el mercado.	This pure gold is worth a lot on the market.
puro	adv	only, merely	Ella puro llora por cualquier cosa.	She just cries over anything.
puro	noun	cigar, puro	Encendió un puro después de cenar.	He lit a cigar after dinner.
pérdida	noun	loss	La pérdida de datos preocupa.	Data loss is concerning.
olor	noun	smell, scent, odor	Hay un olor fuerte en la cocina.	There's a strong smell in the kitchen.
inteligencia	noun	intelligence	La lectura diaria alimenta la inteligencia.	Daily reading feeds intelligence.
personal	adj	personal	Esta es una decisión personal importante.	This is an important personal decision.
personal	noun	personnel, staff	El personal de seguridad respondió rápidamente.	The security staff responded quickly.
acento	noun	accent (typographical line)	¿Dónde va el acento en la palabra teléfono?	Where does the accent go in the word teléfono?
castillo	noun	castle (a large building that is fortified and contains many defences)	Desde el castillo se ve el río.	From the castle you can see the river.
enterar	verb	to inform	El jefe enteró al equipo de los cambios.	The boss informed the team of the changes.
cuarenta	num	forty	Mi padre tiene cuarenta años.	My father is forty years old.
inspirar	verb	to inspire	Quiero inspirar a mis estudiantes siempre.	I want to always inspire my students.
carácter	noun	character (moral strength)	Su carácter tranquilo inspiraba confianza a todos.	Their calm demeanor inspired confidence in everyone.
económico	adj	economic	Estudiamos la historia económica del país.	We study the country's economic history.
prisión	noun	prison (a place or institution of confinement, especially of long-term confinement for those convicted of serious crimes or otherwise considered undesirable by the government)	Ella salió de prisión ayer.	She was released from prison yesterday.
firmar	verb	to sign	¿Puedes firmar aquí, por favor?	Can you sign here, please?
polvo	noun	dust (fine, dry particles of matter found in the air and covering the surface of objects)	Abre la ventana, hay mucho polvo en el aire.	Open the window, there's a lot of dust in the air.
maleta	noun	suitcase (large piece of luggage)	Metí la ropa en la maleta nueva.	I put the clothes in the new suitcase.
fuente	noun	spring (water), fountain	Bebimos agua fresca en una fuente pública.	We drank cool water from a public fountain.
vecindario	noun	neighbourhood	En este vecindario hay mercados, escuelas y parques.	In this neighborhood there are markets, schools and parks.
san	noun	financial, temporal-savings scheme; the participants periodically contribute a quota to a communal pot that is given to one member, based on his/her turn amongst all the others	Participamos en dos sanes del vecindario.	We participated in two neighborhood cleanups.
adorar	verb	to adore (both literally and in the context of love)	Ayer adoré esa canción nueva.	Yesterday I adored that new song.
distinguir	verb	to distinguish, discern	Puedo distinguir tu voz claramente.	I can distinguish your voice clearly.
droga	noun	drug	La droga puede causar graves problemas.	Drugs can cause serious problems.
montura	xxx	xxx	xxx	xxx
caballero	noun	horseman	Cada caballero cuidaba bien su montura.	Each knight took good care of their mount.
inútil	adj	useless, pointless	Tus esfuerzos fueron inútiles esta vez.	Your efforts were useless this time.
inútil	noun	a useless, hopeless person; idler, loafer	Los inútiles no existen; cualquiera puede mejorar.	Useless people don't exist; anyone can improve.
adoptar	verb	to adopt (select)	Finalmente adoptaron la solución más simple.	They finally adopted the simplest solution.
beso	noun	kiss	Quiero mandarte un beso grande.	I want to send you a big kiss.
talento	noun	talent	Buscamos talentos jóvenes para el proyecto.	We are looking for young talent for the project.
internacional	adj	international	La economía internacional cambia rápidamente.	The international economy changes rapidly.
vinculante	xxx	xxx	xxx	xxx
dieta	noun	diet (a council or assembly of leaders)	Las decisiones de la Dieta eran vinculantes.	The Diet's decisions were binding.
importancia	noun	importance	Aprender idiomas tiene importancia en el trabajo.	Learning languages is important at work.
juzgar	verb	to judge, to adjudicate	Estamos juzgando demasiado rápido las ideas nuevas.	We are judging new ideas too quickly.
pata	noun	paw, foot, leg (of an animal)	La vaca tenía una pata herida después del paseo.	The cow had an injured leg after the walk.
cerebro	noun	brain	Cuidar el cerebro mejora la memoria y la atención.	Taking care of the brain improves memory and attention.
bañar	verb	to bathe oneself	Me estaba bañando cuando llamaste por teléfono.	I was taking a bath when you called.
recomendar	verb	to recommend	Siempre recomiendan beber suficiente agua.	They always recommend drinking enough water.
hogar	noun	home	En mi hogar aprendí valores importantes.	At home I learned important values.
esposo	noun	husband	Mi esposo cocina la cena hoy.	My husband is cooking dinner today.
idiota	noun	idiot, moron, fool, dork, eejit	Nadie quiere parecer un idiota durante la presentación.	No one wants to look like an idiot during the presentation.
región	noun	region	Mi región tiene ríos y bosques.	My region has rivers and forests.
cuestión	noun	matter, question, issue	Tenemos que discutir esta cuestión hoy.	We have to discuss this issue today.
conductor	noun	driver	El conductor respetó todas las señales.	The driver obeyed all the signs.
burlar	verb	to outwit, to outsmart, to circumvent, to trick, to deceive	Logró burlar a la policía anoche.	They managed to evade the police last night.
aceite	noun	oil	Revisa el nivel de aceite del coche.	Check the car's oil level.
quince	num	fifteen	Compramos quince libros para la clase.	We bought fifteen books for the class.
elefante	noun	elephant	El elefante es un animal muy grande y fuerte.	The elephant is a very large and strong animal.
lastimar	verb	to injure	Cuidado, puedes lastimarte con ese cuchillo.	Careful, you can hurt yourself with that knife.
describir	verb	to describe, represent in words	Mañana describiré los resultados del estudio.	Tomorrow I will describe the results of the study.
controlar	verb	to control, to rein in	No pude controlar la situación ayer.	I couldn't control the situation yesterday.
lanzar	verb	to throw	En clase, lanzamos un avión de papel.	In class, we threw a paper airplane.
bolígrafo	noun	ballpoint pen	Necesito un bolígrafo azul para escribir.	I need a blue pen to write.
supuesto	adj	supposed, self-styled, alleged	Mostraron unas supuestas pruebas que eran falsas.	They showed some alleged evidence that was false.
sostener	verb	to hold, to hold up, to prop up, to sustain, to underpin (physically)	¿Puedes sostener esta caja pesada?	Can you hold this heavy box?
supuesto	noun	assumption, hypothesis	Ese supuesto no se sostiene con los datos.	That assumption is not supported by the data.
parado	adj	stopped, halted, immobile, idle	Estaban parados bajo la lluvia esperando.	They were standing in the rain waiting.
parado	noun	unemployed person	Hay muchos parados en el barrio.	There are many unemployed people in the neighborhood.
escritor	noun	writer	Muchos escritores trabajan de noche en silencio.	Many writers work at night in silence.
casualidad	noun	chance, coincidence, happenstance, fluke, accident	¿Fue una casualidad o lo planeaste?	Was it a coincidence or did you plan it?
muñeca	noun	wrist	Me duele la muñeca derecha al escribir.	My right wrist hurts when I write.
yen	noun	yen	El precio está en yenes japoneses.	The price is in Japanese yen.
honesto	adj	honest	Él intenta ser honesto consigo mismo.	He tries to be honest with himself.
altura	noun	height	Ella mide su altura cada año.	She measures her height every year.
electrónico	adj	electronic	Compré un libro electrónico muy barato.	I bought a very cheap e-book.
arruinar	verb	to ruin	El accidente arruinó mi día.	The accident ruined my day.
apetecer	verb	to feel like, to fancy; would like, to be down for (US slang)	¿Te apetece tomar un café?	Do you feel like having a coffee?
herir	verb	to wound, injure (to cause physical injury and pain)	El cuchillo la hirió en la mano.	The knife injured her hand.
precioso	adj	precious	Su amistad es un regalo precioso.	Your friendship is a precious gift.
tomate	noun	tomato (fruit)	Compré tomates frescos en el mercado.	I bought fresh tomatoes at the market.
oferta	noun	offer (a proposal that has been made)	Acepté la oferta de trabajo ayer.	I accepted the job offer yesterday.
probable	adj	probable, likely	Es poco probable que venga.	It's unlikely that he'll come.
trampa	noun	trap, snare (device for trapping animals)	Las trampas para aves necesitan revisarse todos los días.	Bird traps need to be checked every day.
pasaporte	noun	passport	Ella perdió su pasaporte ayer.	She lost her passport yesterday.
doble	adj	double	Compraron una cama doble muy cómoda.	They bought a very comfortable double bed.
doble	noun	double, twice as much	Ella gana el doble que yo.	She earns twice as much as I do.
pretender	verb	to intend, to aim (for/to)	Pretendo terminar el proyecto hoy.	I intend to finish the project today.
fingir	verb	to pretend (to act as though something is different from what it is)	Ella fingía dormir para escuchar.	She pretended to be asleep in order to listen.
generalizar	xxx	xxx	xxx	xxx
tender	verb	to tend to, to have a tendency	La gente tiende a generalizar demasiado.	People tend to generalize too much.
desactivar	xxx	xxx	xxx	xxx
bomba	noun	bomb (an explosive device used or intended as a weapon)	La policía desactivó una bomba en la estación.	The police defused a bomb at the station.
sed	noun	thirst	Después de correr, tengo mucha sed.	After running, I am very thirsty.
despierto	adj	awake	Hoy estoy despierto desde las seis.	I've been awake since six today.
material	adj	material	Necesitamos pruebas materiales para sostener la acusación.	We need physical evidence to support the accusation.
material	noun	material	Trae el material para la clase.	Bring the materials for the class.
hombro	noun	shoulder	Me duele el hombro después de nadar.	My shoulder hurts after swimming.
hábito	noun	habit, custom	Romper un mal hábito puede ser difícil.	Breaking a bad habit can be difficult.
ascensor	noun	elevator, lift	El ascensor tarda demasiado en llegar hoy.	The elevator is taking too long to arrive today.
visita	noun	visit	Espero tu visita el próximo sábado.	I look forward to your visit next Saturday.
excepto	prep	except	A todos les respondí, excepto a ti.	I replied to everyone, except you.
descanso	noun	rest, break	Aprovecho el descanso para leer.	I take advantage of the break to read.
esquina	noun	corner	La tienda está en la esquina.	The store is on the corner.
cargo	noun	charge, burden	Ella quedó a cargo de la tienda.	She was left in charge of the store.
resfriado	adj	afflicted with the common cold	Hoy estoy resfriado y muy cansado.	Today I have a cold and I'm very tired.
resfriado	noun	a cold	El resfriado dura unos días normalmente.	A cold normally lasts a few days.
ejército	noun	army	El ejército avanzó por la frontera lentamente.	The army advanced along the border slowly.
cerdo	adj	dirty	Ese filme es muy cerdo y no quiero verlo.	That film is really gross and I don't want to watch it.
cerdo	noun	pig, hog	Vi un cerdo en el campo.	I saw a pig in the field.
meta	noun	goal, target	Mi meta es aprender español.	My goal is to learn Spanish.
tontería	noun	something that is dumb	No digas tonterías en la reunión.	Don't talk nonsense in the meeting.
oreja	noun	outer ear; auricle	Me duele la oreja derecha desde ayer.	My right ear has been hurting since yesterday.
recuerdo	noun	memory	Perdí el recuerdo de su voz.	I've forgotten the sound of their voice.
contratar	verb	to contract, to take on	Estamos contratando a estudiantes para el verano.	We are hiring students for the summer.
araña	noun	spider	Observamos arañas de colores en el jardín.	We observed colorful spiders in the garden.
rejuvenecer	xxx	xxx	xxx	xxx
bob	noun	bob, bob haircut (hairstyle)	Un bob corto puede rejuvenecer bastante.	A short bob can be quite rejuvenating.
método	noun	method	Aprendimos un nuevo método de estudio.	We learned a new study method.
personaje	noun	personage	Mi personaje favorito enfrenta sus miedos.	My favorite character faces their fears.
renunciar	verb	to renounce, to abandon, to give up, to relinquish, to do without	Decidí renunciar a ese trabajo.	I decided to quit that job.
galleta	noun	cookie / biscuit	Quiero otra galleta con leche.	I want another cookie with milk.
cáncer	noun	cancer	Después del cáncer, recuperó su energía lentamente.	After cancer, they slowly regained their energy.
actitud	noun	posture, pose, stance	Necesitamos una actitud más abierta hoy.	We need a more open attitude today.
respiración	noun	respiration	El médico escuchó su respiración con atención.	The doctor listened to their breathing attentively.
celular	adj	cellular	Estudiamos la respiración celular en clase hoy.	We studied cellular respiration in class today.
celular	noun	cell phone (US), mobile phone (UK, Australia)	¿Puedes llamar desde tu celular ahora?	Can you call from your cell phone now?
convexo	xxx	xxx	xxx	xxx
lente	noun	lens	La lente convexa concentra la luz.	The convex lens focuses light.
absolutamente	adv	absolutely; completely; entirely; totally; utterly; wholly (in absolute manner)	Estoy absolutamente de acuerdo contigo.	I absolutely agree with you.
disculpa	noun	excuse	Ofreció una disculpa sincera ayer.	They offered a sincere apology yesterday.
retirar	verb	to remove	Debemos retirar la basura hoy.	We must take out the trash today.
grado	noun	degree	En cierto grado, me ayudó mucho.	To a certain degree, it helped me a lot.
esclavo	noun	slave	El esclavo trabajaba largas horas en el campo.	The slave worked long hours in the field.
poseer	verb	to possess, to own, to hold, to have	Ellos poseen muchos libros antiguos.	They own many old books.
vídeo	noun	video	Hoy vi un vídeo sobre historia.	Today I watched a video about history.
rueda	noun	circle (of people)	Nos sentamos en rueda para hablar.	We sat in a circle to talk.
dudar	verb	to doubt	Dudábamos de la oferta.	We were doubtful of the offer.
increíble	adj	incredible, unbelievable	Ayer, esta película fue realmente increíble.	Yesterday, this movie was really amazing.
emergencia	noun	emergency	Las emergencias médicas requieren atención inmediata.	Medical emergencies require immediate attention.
vehículo	noun	vehicle	El vehículo de emergencia pasó rápidamente.	The emergency vehicle passed quickly.
extremadamente	adv	extremely	Trabajaron extremadamente duro para terminar.	They worked extremely hard to finish.
toalla	noun	towel	Después de nadar, necesito una toalla seca.	After swimming, I need a dry towel.
velocidad	noun	speed	A toda velocidad llegaron tarde.	At full speed, they arrived late.
girar	verb	to turn, pivot	Ellos giraron lentamente hasta quedar frente a nosotros.	They turned slowly until they were facing us.
investigación	noun	investigation	La investigación produjo resultados muy claros.	The research produced very clear results.
atravesar	verb	to cross, to traverse	Estoy atravesando un momento difícil, pero saldré adelante.	I'm going through a difficult time, but I'll get through it.
gallina	noun	hen	La gallina pone huevos frescos cada mañana.	The hen lays fresh eggs every morning.
asesinar	verb	to murder	Ella fue acusada de asesinar a su compañero.	She was accused of murdering her partner.
complejo	adj	complex, sophisticated, intricate (made of multiple parts)	Este problema es bastante complejo.	This problem is quite complex.
complejo	noun	complex	El complejo de edificios ocupa toda la manzana.	The building complex occupies the entire city block.
